,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-02-18 16:39:53,2021-02-18 16:39:52,511,2.0,10.0,4150,2021-02-18 16:40:16,2021.02.18,15,A ranked list of awesome machine learning Python libraries. Updated weekly.,17.0,14,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-02-18 16:33:15,2021-02-18 16:33:13,89,,2.0,1419,2021-02-18 16:33:20,2021.02.18,7,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,13,True,1,1.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-02-18 16:33:47,2021-02-18 16:33:46,59,,2.0,1028,2021-02-18 16:33:55,2021.02.18,8,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,12,True,1,2.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-02-18 16:32:05,2021-02-18 16:32:04,7,,5.0,191,2021-02-18 16:32:19,2021.02.18,6,A ranked list of awesome python developer tools and libraries. Updated weekly.,,11,True,1,3.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-02-18 14:33:56,2021-02-18 14:33:55,18,,,170,2021-02-18 14:34:19,2021.02.18,11,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",4.0,11,True,3,1.0
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-02-16 23:26:05,2021-02-16 23:26:02,10,,3.0,101,2021-02-16 23:26:47,2021.02.15,6,A ranked gallery of awesome streamlit apps built by the community.,2.0,9,True,3,2.0
