,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-03-25 15:28:20,2021-03-13 18:24:25,548,1.0,11,4436,2021-03-13 18:20:49,2021.03.11,18,A ranked list of awesome machine learning Python libraries. Updated weekly.,17.0,14,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-03-25 14:49:31,2021-03-13 18:15:28,102,,3,1523,2021-03-13 18:16:05,2021.03.11,10,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,13,True,1,1.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-03-25 15:13:20,2021-03-13 18:19:34,67,,2,1127,2021-03-13 18:15:12,2021.03.11,11,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,13,True,1,3.0
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-03-25 14:36:10,2021-03-13 18:30:38,26,,1,216,2021-03-13 18:30:54,2021.03.11,14,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",5.0,12,True,3,2.0
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-03-25 14:43:39,2021-03-13 18:26:07,12,,5,251,2021-03-13 18:26:16,2021.03.11,9,A ranked list of awesome python developer tools and libraries. Updated weekly.,,11,True,1,3.0
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-03-22 12:11:37,2021-02-23 01:28:44,12,,3,129,2021-02-23 01:04:31,2021.02.22,7,A ranked gallery of awesome streamlit apps built by the community.,3.0,10,True,3,3.0
